hospital_name,doctor_name,qualification,specialization,doctor_phone,doctor_email,doctors_age,yoe,hospital_exact_location,disease_related,gender,available_for_online_consultation,avialable_slots,ratings(out_of_5),consultation_fee
Aastha Hospital,Dr. Suresh Thakur,"MBBS, DM",General Surgeon,+91-9653128782,suresh.thakur697@gmail.com,41,8.0,"Krishna Nagar, Hamirpur",General Surgery,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.7,1426
Aastha Hospital,Dr. Rahul Chauhan,MBBS,Orthopedic Surgeon,+91-8797922150,rahul.chauhan492gmail.com,42,9.0,"Krishna Nagar, Hamirpur",Bone & Joint Problems,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.8,1160
Aastha Hospital,Dr. Priya Singh,"MBBS, DM",Pediatrician,+91-9727757862,priya.singh115@gmail.com,30,3.0,"Sujanpur Tira, Hamirpur",Child Health Issues,Female,No,10:00 AM - 2:00 PM,3.3,1430
Aastha Hospital,Dr. Arun Chauhan,"MBBS, MCh",Neurologist,+91-8570163008,arun.chauhan76@gmail.com,39,4.0,"Main Market, Hamirpur",Brain Disorders,Male,No,10:00 AM - 2:00 PM,3.4,1395
Aastha Hospital,Dr. Rohit Jaiswal,"MBBS, MS",Dermatologist,+91-9793310222,rohit.jaiswal417@gmail.com,39,2.0,"Dugha, Hamirpur",Skin Problems,Male,No,4:00 PM - 8:00 PM,3.2,1344
Aastha Hospital,Dr. Deepak Verma,"MBBS, MS",Gynecologist,+91-7386829920,deepak.verma169@ gmail.com,56,12.0,"Sujanpur Tira, Hamirpur",General Treatment,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",4.1,421
Aastha Hospital,Dr. Amit Jaiswal,"MBBS, MS",General Surgeon,+91-7554650228,amit.jaiswal993@gmail.com,44,22.0,"Sujanpur Tira, Hamirpur",General Surgery,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",5.0,766
Aastha Hospital,Dr. Neha Thakur,MBBS,Eye Specialist,+91-8705394006,neha.thakur422@gmail.com,61,12.0,"Near Bypass Road, Hamirpur",General Treatment,Female,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",4.1,630
Aastha Hospital,Dr. Harsh Thakur,"MBBS, MS",Neurologist,+91-7304922098,harsh.thakur907@gmail.com,31,11.0,"Krishna Nagar, Hamirpur",Brain Disorders,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",4.0,387
Aastha Hospital,Dr. Raghav Rana,"MBBS, MCh",Gynecologist,+91-9156888134,raghav.rana757@gmail.com,36,13.0,"Main Market, Hamirpur",General Treatment,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",4.2,1423
Aastha Hospital,Dr. Manish Thakur,MBBS,Cardiologist,+91-7750459226,manish.thakur295@gmail.com,42,14.0,"Main Market, Hamirpur",Heart Problems,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",4.3,1171
Aastha Hospital,Dr. Rahul Kashyap,"MBBS, DM",ENT Specialist,+91-7209398736,rahul.kashyap178@gmail.com,37,15.0,"Krishna Nagar, Hamirpur",General Treatment,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",4.4,430
Aastha Hospital,Dr. Deepak Rana,"MBBS, MD",ENT Specialist,+91-8000809379,deepak.rana69@gmail.com,54,2.0,"Pakka Bharor, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.2,1069
Aastha Hospital,Dr. Karan Singh,MBBS,Orthopedic Surgeon,+91-7846202743,karan.singh486@medmail.com,61,13.0,"Near Bypass Road, Hamirpur",Bone & Joint Problems,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",4.2,643
Aastha Hospital,Dr. Vikas Bhardwaj,"MBBS, MD",Neurologist,+91-8564452739,vikas.bhardwaj907@medmail.com,58,8.0,"Pakka Bharor, Hamirpur",Brain Disorders,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.7,1105
Aastha Hospital,Dr. Raghav Sharma,"MBBS, DM",Cardiologist,+91-9163707255,raghav.sharma954@medmail.com,48,9.0,"Near Bypass Road, Hamirpur",Heart Problems,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.8,685
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Amit Chauhan,"MBBS, DM",ENT Specialist,+91-8391225067,amit.chauhan778@medmail.com,43,7.0,"Main Market, Hamirpur",General Treatment,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.6,1255
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Rahul Bhardwaj,MBBS,Gynecologist,+91-7774317997,rahul.bhardwaj377@medmail.com,62,6.0,"Krishna Nagar, Hamirpur",General Treatment,Male,Yes,10:00 AM - 2:00 PM,3.5,576
